title,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,description,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
오전약수관광지,관광지,경상북도 봉화군 물야면 문수로 1541,경상북도 봉화군 물야면 오전리 95-35,37.01209531,128.7457209,137000,관리사무소+화장실+상하수도시설+주차장,,,,관광식당,,1986.12.30,2000,500,"심산계곡에 자리잡은 약수탕은 선달산, 옥석산 아래 깊은 계곡에 위치하고 있고, 약수는 예부터 위장병과 피부병에 효험이 있다.",054-679-6353,경상북도 봉화군청,2022.9.16,5240000,경상북도 봉화군
다덕약수관광지,관광지,경상북도 봉화군 봉성면 다덕로 873,경상북도 봉화군 봉성면 우곡리 505-5,36.9141215,128.8273232,88720,관리사무소+화장실+주차장,,,,관광식당,,2008.12.30,500,120,옛날 스무나무 아래 약수가 있어 이를 마시고 위장병과 피부병에 효험이 있어 많은 사람이 이 약수를 마시고 덕을 보았다 하여 다덕약수라고 불리움,054-679-6353,경상북도 봉화군청,2022.9.16,5240000,경상북도 봉화군
두타연,관광지,강원도 양구군 방산면 두타연로 297,강원도 양구군 방산면 고방산리 1024,38.246783,127.9816923,30,화장실+주차장,,,,,,1996.5.7,1000,50,"금강산에서 발원한 물줄기가 골짜기를 만나 아담한 폭포를 이루고, 그 아래 만들어진 너른 소를 일컫는다.",033-480-7266,강원도 양구군청,2022.8.31,4320000,강원도 양구군
한반도섬,관광지,강원도 양구군 양구읍 고대리 649-1,강원도 양구군 양구읍 고대리 649-1,38.130582,127.982972,4500,화장실+주차장,,파로호뱃길나루터: 카누+카약+수상자전거+마이보트 이용가능,,,,2009.7.9,5000,100,한반도지형을 그대로 축소한 섬,033-480-7267,강원도 양구군청,2022.8.31,4320000,강원도 양구군
국토정중앙천문대,관광지,강원도 양구군 남면 국토정중앙로 127,강원도 양구군 남면 도촌리 96-5,38.0689384,128.0296768,1166,화장실+주차장,,,휴게실+전시실+천체투영실+영상관,,,2007.5.31,50,55,우리나라의 중심에서 하늘을 바라보기 위해국토정중앙점 부근에 건설되어 2007년 5월 31일 개관,033-480-7255,강원도 양구군청,2022.8.31,4320000,강원도 양구군
을지전망대,관광지,강원도 양구군 해안면 전망대로 540,강원도 양구군 해안면 후리 621,38.32452923,128.1356817,324,화장실+주차장,,,,,,1988.12.10,200,20,"해발 1,049m DMZ 철책위에서 남북한의 대치상황을 한눈에 볼 수 있다",033-480-7251,강원도 양구군청,2022.8.31,4320000,강원도 양구군
제4땅굴,관광지,강원도 양구군 해안면 땅굴로 454,강원도 양구군 해안면 이현리 743,38.31963688,128.1107257,1652,화장실+주차장,,,안보전시관,,,1996.8.1,200,40,"1990년 2월3일 발견,  군사 분계선에서 1,028m 떨어진 곳에 위치",033-480-7251,강원도 양구군청,2022.8.31,4320000,강원도 양구군
양구 DMZ 조이나믹 체험장,관광지,강원도 양구군 해안면 해안서화로 47-6,강원도 양구군 해안면 후리 642,38.28900491,128.1464817,25463,화장실+주차장,,트램펄린+모험놀이시설+그물터널 놀이대+곡선형 집와이어+전동휠,,,,2021.9.29,200,42,"통일관, 전쟁기념관, 을지전망대, 제4땅굴을 찾는 관광객에게 볼거리를 제공함과 더불어 복합적 체험공간을추가로 조성함으로써 오감으로 느끼는 양구만의 차별화된 관광 인프라 구축으로 머물러 갈수 있는 체류형 관광지",033-480-7253,강원도 양구군청,2022.8.31,4320000,강원도 양구군
양구 통일관,관광지,강원도 양구군 해안면 해안서화로 35,강원도 양구군 해안면 후리 622,38.2900609,128.1455851,531,화장실+주차장,,,,,,1996.8.1,100,40,"통일에 대비하여 국민에게 북한 실상에 대한 이해의 폭을 넓히고, 통일교육의 장으로 활용하기 위한 공간",033-480-7251,강원도 양구군청,2022.8.31,4320000,강원도 양구군
양구수목원,관광지,강원도 양구군 동면 숨골로 310번길 131,강원도 양구군 동면 원당리 180,38.19204231,128.0762778,189141,화장실+주차장,,,휴게실+전시실+체험관,,,2004.4.19,5000,50,자연생태의 모든 것을 오감으로 느끼고 체험할 수 있는 곳,033-480-7391,강원도 양구군청,2022.8.31,4320000,강원도 양구군
전남대학교용지,관광지,,광주광역시 북구 용봉동 81-2,35.17388133,126.9111447,17951,화장실+주차장,,종합체육시설,,,,1969.1.1,1000,1000,전남대학교를 구경할 수 있음,062-530-5114,광주광역시 전남대학교,2022.1.1,6290000,광주광역시
오-월드,관광지,대전광역시 중구 사정공원로 70(사정동),대전광역시 중구 사정동 142,36.28749924,127.3985039,682830,유모차대여소+수유실+의무실+고객지원센터+물품보관소,,버드랜드+조이랜드+플라워랜드+시즌놀이시설,행복쉼터,,,2002.5.2,0,1545,주랜드 + 플라워랜드 + 조이랜드”를 복합적으로 구성하여 온가족이 함께 즐길 수 있는 테마공원 *수용인원:제한없음,042-580-4820,대전도시공사,2022.9.2,3650000,대전광역시 중구
뿌리공원,관광지,대전광역시 중구 뿌리공원로 79(침산동),대전광역시 중구 침산동 364,36.28538043,127.3883,125000,관광안내소+수유실,효문화마을관리원,국궁장,성씨조형물+캠핑장+한국족보박물관 등,,,2013.9.1,0,447,"전국유일의 효 테마공원으로서 자신의 뿌리를 되찾을 수 있는 성씨별 조형물과 수변무대, 전망대, 산림욕장 등 다양한 시설이 갖추어진 체험학습의 산 교육장  *수용인원:제한없음",042-288-8301,대전광역시 중구청,2022.9.2,3650000,대전광역시 중구
아쿠아리움,관광지,대전광역시 중구 보문산공원로 469(대사동),대전광역시 중구 대사동 198-14,36.31005741,127.4209439,18708,휠체어+유모차대여소+보관소+수유실+고객지원센터,,,아쿠아리움+체험동물원,,,2016.7.1,0,300,전쟁에 대비해 지하방공호로 활용하던 대전 도심의 천연동굴을 변화시킨 수족관으로 국내최초이자 최대인 담수어 아쿠아리움  *수용인원:제한없음,042-226-2100,㈜신라애니멀그룹,2022.9.2,3650000,대전광역시 중구
청도박물관,관광지,경상북도 청도군 이서면 이서로 567,경상북도 청도군 이서면 양원리 129-5,35.6942561,128.6865383,1941,화장실+주차장+고고역사관+민속관+전시실+어린이체험실,,,박물관,,,2013.12.14,40,40,폐교를 새단장하여 만든 청도 최초의 종합박물관,054-370-2282,경상북도 청도군청 문화관광과,2022.8.31,5190000,경상북도 청도군
한국코미디타운,관광지,경상북도 청도군 이서면 이서로 565,경상북도 청도군 이서면 양원리 91-3,35.69358927,128.6863109,9671,주차장+화장실,,,박물관,다목적홀+공연장+카페,,2017.1.11,300,27,직접 원맨쇼를 하고 몸 개그를 하는 등 코미디를 오감으로 체험함으로써 우리 민족의 정서 속에 흐르는 웃음 유전자를 발견 할 수 있는 ‘대한민국 유일의 코미디 체험관’입니다.,054-372-8700,경상북도 청도군청 문화관광과,2022.8.31,5190000,경상북도 청도군
소싸움테마파크,관광지,경상북도 청도군 화양읍 남성현로 346,경상북도 청도군 화양읍 삼신리 1059-1,35.68529236,128.7242012,7276,화장실+쉼터,,,박물관,기획전시실+회의실,,2012.4.18,300,45,"소와 소싸움의 유래에서부터 전해져온 전승과 역사를 다양한 그래픽 패널과 모형으로 소싸움에 대한 관람객의 이해를  돕기 위해 전시관, 영상관, 기획전시실 등 소와 함께하는 다양한 체험시설이 있다.",054-373-2076,경상북도 청도군청 문화관광과,2022.8.31,5190000,경상북도 청도군
청도레일바이크,관광지,경상북도 청도군 청도읍 하지길 46-51,경상북도 청도군 청도읍 유호리 701,35.58811543,128.7661723,99800,화장실,,종합유원시설,,,,2016.7.1,400,100,청도천변을 따라 폐선된 옛 첫길을 테마로 조성,054-373-2426,경상북도 청도군청 환경과,2022.8.31,5190000,경상북도 청도군
청도자전거공원,관광지,경상북도 청도군 청도읍 하지길 46-51,경상북도 청도군 청도읍 유호리 39-15,35.5881145,128.7661742,32788,화장실+공원,,종합유원시설,,,,2017.5.31,100,50,"군내 최대 규모의 자전거공원이다. 산악자전거 체험코스(MTB알파인코스)와 MTB스킬센터, MTB지원센터 등도 마련",054-373-2425,경상북도 청도군청 환경과,2022.8.31,5190000,경상북도 청도군
청도신화랑풍류마을,관광지,경상북도 청도군 운문면 신화랑길 1,경상북도 청도군 운문면 방지리 74,35.71807645,128.9223074,291067,주차장+화장실,,,산림휴양시설,대강당+세미나실+연회장+교육실,,2012.7.23,200,219,화랑의 세속오계 정신을 연출한 체험형 복합관광단지,054-370-7300,청도우리정신문화재단,2022.8.31,5190000,경상북도 청도군
새마을운동발상지기념공원,관광지,경상북도 청도군 청도읍 새마을1길 34,경상북도 청도군 청도읍 신도리 18-2,35.60012971,128.7661487,136473,기념관+공원,,,박물관,,,2019.4.14,200,100,"6070년대 생활상 전시, 체험 및 교육",054-372-5500,청도우리정신문화재단,2022.8.31,5190000,경상북도 청도군
청도소싸움경기장,관광지,경상북도 청도군 화양읍 남성현로 348,경상북도 청도군 화양읍 삼신리 693-2,35.6867346,128.7251449,2116,의무실+수유실+식당+초보고객안내실+종합안내소,,소싸움경기장,,,,2011.9.3,10000,850,전통민속문화인 청도 소싸움을 문화관광상품으로 개발,054-370-7500,청도공영사업공사,2022.8.31,5190000,경상북도 청도군
와인터널,관광지,경상북도 청도군 화양읍 송금길 100,경상북도 청도군 화양읍 송금리 산 122,35.71513567,128.7205341,8001,화장실,,,동굴자원,,,2005.5.23,500,100,용도없이 방치되어온 터널을 정비하여 감와인 숙성저장고와 와인카페로 사용,054-371-1904,청도감와인㈜,2022.8.31,5190000,경상북도 청도군
프로방스 포토랜드,관광지,경상북도 청도군 화양읍 이슬미로 272-28,경상북도 청도군 화양읍 삼신리 879,35.68397476,128.7187441,74682,없음,,종합유원시설,,,,2012.1.1,1500,300,프랑스의 정감 있는 프로방스마을을 빛 축제로 승화,054-372-5050,(주)용암온천관광호텔 프로방스점,2022.8.31,5190000,경상북도 청도군
심우장,관광지,서울특별시 성북구 성북로29길 24,서울특별시 성북구 성북동 222-1,37.5936268,126.9916662,386,화장실,,,,,,1984.7.5,100,0,만해 한용운의 일제강점기 머물던 집,02-741-4693,서울특별시 성북구청 문화체육과,2022.8.16,3070000,서울특별시 성북구
길상사,관광지,서울특별시 성북구 선잠로5길 68(성북동),서울특별시 성북구 성북동 324-1,37.59910942,126.9946522,16939,화장실,,,,,,1997.12.14,1000,50,최고급 요정에서 도심속 도량으로 환골탈퇴,02-3672-5945,길상사,2022.8.16,3070000,서울특별시 성북구
반월호수,관광지,경기도 군포시 호수로 92,경기도 군포시 둔대동 52-2,37.32458238,126.8899642,1,화장실,,,,,,2021.5.12,100,0,순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다.,031-392-3000,경기도 군포시청,2022.9.30,4020000,경기도 군포시
초막골 생태공원,관광지,경기도 군포시 초막골길 216,경기도 군포시 산본동 856,37.35410097,126.9191417,1,화장실,,,,,,2021.5.12,100,0,수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다.,031-392-3000,경기도 군포시청,2022.9.30,4020000,경기도 군포시
수리산 도립공원,관광지,경기도 군포시 속달로 347-4,경기도 군포시 속달동 306,37.34799646,126.9005248,1,화장실,,,,,,2021.5.12,100,0,군포시민에게 마음의 안식처로 사랑받고 있는 수리산은 규모가 크고 봉우리가 많아 능선이 여러 갈래로 굽이쳐 기호에 따라 다양한 산행을 할 수 있다.,031-8008-8265,수리산도립공원 탐방안내소,2022.9.30,4020000,경기도 군포시
수리산 산림욕장,관광지,경기도 군포시 수리산로 6-2,경기도 군포시 산본동 1226,37.35761527,126.9236481,1,화장실,,,,,,2021.5.12,100,0,"도심 속에서 숲을 느낄 수 있는 공간으로 산림욕장을 걷는 내내 북카페, 발지압장, 운동기구 등 체험할 수 있는 시설들이 가득하다.",031-392-3000,경기도 군포시청,2022.9.30,4020000,경기도 군포시
철쭉동산,관광지,경기도 군포시 고산로 460,경기도 군포시 산본동 1152-10,37.35560813,126.9269137,1,화장실,,,,,,2021.5.12,100,0,빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다.,031-392-3000,경기도 군포시청,2022.9.30,4020000,경기도 군포시
수리사,관광지,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329,37.35443607,126.8967938,1,화장실,,,,,,2021.5.12,100,0,진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다.,031-438-1823,수리사,2022.9.30,4020000,경기도 군포시
물누리체험관,관광지,경기도 군포시 호수로 170-85,경기도 군포시 둔대동 301-5,37.32136505,126.8996775,1,화장실,,,,,,2021.5.12,100,0,물과 관련된 다양한 체험프로그램이 있는 물누리체험관,031-390-8688,경기도 군포시청,2022.9.30,4020000,경기도 군포시
누리천문대,관광지,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7,37.33028283,126.9153444,1,화장실,,,,,,2021.5.12,100,0,"천문우주체험관. 4D입체상영관, 플라네타리움 등 유익하고 알찬 시설을 갖춘 최첨단 과학문화 공간, 대야도서관 4층에 있다.",031-504-7100,경기도 군포시청,2022.9.30,4020000,경기도 군포시
금마관광지,관광지,전라북도 익산시 금마면 고도9길 41-14,전라북도 익산시 금마면 동고도리 534-3,36.0015063,127.0570781,208700,광장+안내시설+화장실+주차장+만남의장,황토숙박,놀이시설+전통 놀이마당,공연장+조경휴게소+공원+교양관+유적전시시설+꽃동산+마재배지+실개천+잔디광장+서동선화이야기동산+주말농장+농경체험장+상가,,,1990.12.3,1000,451,익산 서동공원 일원,063-0859-5827,전라북도 익산시청,2022.9.16,4680000,전라북도 익산시
미륵사지관광지,관광지,전라북도 익산시 금마면 미륵사지로 362,전라북도 익산시 금마면 기양리 104-1,36.01154232,127.0287139,108743,주차장+광장+안내소+화장실,,,전통음식점+기념품점,,,2006.2.22,2000,150,미륵사지 절터 및 전시실,063-0859-5827,전라북도 익산시청,2022.9.16,4680000,전라북도 익산시
왕궁보석테마 관광지,관광지,전라북도 익산시 왕궁면 호반로 8,전라북도 익산시 왕궁면 동용리 541-1,35.99061279,127.1025486,160460,주차장+광장+관광안내시설,,놀이터,보석박물관+화석전시관+공룡테마공원+피크닉장+기타+전시판매센터+식당+판매시설,,,2001.7.5,3000,236,익산 보석박물관,063-0859-5827,전라북도 익산시청,2022.9.16,4680000,전라북도 익산시
웅포관광지,관광지,전라북도 익산시 웅포면 강변로 25,전라북도 익산시 웅포면 웅포리 727,36.06581391,126.8754193,2576294,주차장+화장실+샤워장+취사장및음수대,,골프장+운동장+썰매장,문화체육센터+캠핑장+청소년수련시설+야영장+자연학습장+골프연습장+상가,,,2003.2.18,500,100,웅포 곰개나루 및 캠핑장,063-0859-5827,전라북도 익산시청,2022.9.16,4680000,전라북도 익산시
불갑사관광지,관광지,전라남도 영광군 불갑면 불갑사로 450,전라남도 영광군 불갑면 모악리 408-2,35.199675,126.550047,137517,관광안내소(350-4889),영광힐링컨벤션타운,,,,,1992.2.9,10000,3400,유서깊은 불교문화의 역사와 수려한 자연경관를 간직한 불갑사 지구의 관광명소이며 관광수요에 능동적으로 대처할 수 있는 휴식공간 제공,061-350-5758,전라남도 영광군청,2022.9.17,4970000,전라남도 영광군
화암관광지,관광지,강원도 정선군 화암면 화암동굴길 12-13,강원도 정선군 화암면 화암리 540-12,37.35092374,128.7896216,213235,도로주차장관리사무소+화장실 등,,다목적광장 등,향토박물관+금광촌 등,,,1977.3.17,100000,500,천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음,033-560-2145,강원도 정선군청,2022.9.26,4290000,강원도 정선군
아우라지 관광지,관광지,강원도 정선군 여량면 아우라지길 69,강원도 정선군 여량면 여량리 186-1,37.47574407,128.7243663,122244,도로주차장관리사무소+화장실 등,,다목적운동장 등,아리랑전수관+달오름공원 등,,,2002.9.13,100000,100,천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음,033-560-2145,강원도 정선군청,2022.9.26,4290000,강원도 정선군
광명동굴,관광지,경기도 광명시 가학로 85번길 142,경기도 광명시 가학동 27,37.42467857,126.8634321,782,주차장+화장실+매표소+방문자센터,,VR체험관+공포체험관,라스코전시관+타임캡슐관+예술의전당+미디어타워,푸드코트+노천카페+이동판매대+동굴카페+와인판매대+기념품샵,,2011.9.11,4000,899,1912년 일제가 자원수탈을 목적으로 개발을 시작한 광명동굴(구.시흥광산)은 일제강점기 징용과 수탈의 현장이자 해방 후 근대화ㆍ산업화의 흔적을 고스란히 간직한 산업유산이다. 1972년 폐광된 후 40여 년간 새우젓 창고로 쓰이며 잠들어 있던 광명동굴을 2011년 광명시가 매입하여 역사ㆍ문화 관광명소로 탈바꿈시켰다. 광명동굴은 산업유산으로서의 가치와 문화적 가치가 결합된 대한민국 최고의 동굴테마파크라는 평가를 받고 있으며 연간 100만 명 이상의 관광객이 찾는 세계가 놀란 폐광의 기적을 이루었다.,070-4277-8902,경기도 광명도시공사,2022.10.7,3900000,경기도 광명시
예천포리관광지,관광지,경상북도 예천군 감천면 복골길 150,경상북도 예천군 감천면 포리 688,36.70015808,128.514204,210241,주차장+화장실+휴게공간,,다목적운동장+체력단련장+전통놀이광장,박물관,,,2004.11.8,600,150,"내성천 지류가 자연석과 어울려 경관이 수려하며, 충효테마공원에서 충효 체험이 가능함.",054-650-6394,경상북도 예천군청,2022.9.17,5230000,경상북도 예천군
예천삼강,관광지,경상북도 예천군 풍양면 삼강리길 53-23,경상북도 예천군 풍양면 삼강리 58-1,36.56378393,128.304509,210389,도로+마당+종합안내센터+주차장+공급처리시설+화장실,전통가옥체험장+강문화체험 휴·유·락마을,,강문화전시관,,,2014.4.28,300,100,"자연과 문호, 사람과 역사가 함께 공존하는 예천의 신개념 문화체험공간",054-650-6035,경상북도 예천군청,2022.9.17,5230000,경상북도 예천군
장사해수욕장관광지,관광지,경상북도 영덕군 남정면 동해대로 3592,경상북도 영덕군 남정면 장사리 74-1,36.2824187,129.3755938,104219,관리사무소+주차장+화장실(3동)+샤워장(2동)+광장,방갈로(20동),미니축구장,전승기념마당,상가(2동),,1981.12.31,2500,297,해수욕장의 청정 자연자원과 장사상륙작전이라는 역사적 사건을 보존한 관광지,054-730-6513,경상북도 영덕군청,2022.8.24,5180000,경상북도 영덕군
한국가구박물관,관광지,서울특별시 성북구 대사관로121,서울특별시 성북구 성북동 330-577,37.60037831,126.9934492,5555,화장실+라운지,,,,,,2013.1.1,20,35,한국의 전통가구를 한눈에 볼수있는 곳,02-745-0181,한국가구박물관,2022.8.16,3070000,서울특별시 성북구
녹진관광지,관광지,,전라남도 진도군 군내면 녹진리 산2-14,34.568986,126.300201,227299,화장실(3동)+주차장(5개소)+관광안내소(1동),,,진도타워+해양에너지공원+판옥선+진도휴게소,,,1988.12.16,10000,310,명량해전의 울둘목 해역이 한눈에 보이는 역사가 숨쉬는 관광지,061-540-3442,전라남도 진도군청,2022.8.17,5000000,전라남도 진도군
회동관광지,관광지,전라남도 진도군 고군면 신비의바닷길 148,전라남도 진도군 고군면 금계리 153-1,34.42726548,126.3513474,2962920,화장실(4동)+주차장(4개소)+관광안내소(1동),,게이트볼장+야구장,신비의바닷길체험관+가계해수욕장+회동전망대+해양생태관,회동+가계공연장,청소년수련원,1987.10.15,10000,350,신비의바닷길이 열리는 축제명소,061-540-3442,전라남도 진도군청,2022.8.17,5000000,전라남도 진도군
아리랑마을관광지,관광지,전라남도 진도군 임회면 아리랑길 95-5,전라남도 진도군 임회면 상만리 11,34.38201529,126.2310334,298930,화장실(2동)+주차장(3개소),,,아리랑체험관+홍주촌+예술인촌전시관,,,2005.9.1,3000,150,예술인의 멋과 정취를 느낄수 있는 아리랑마을,061-540-3442,전라남도 진도군청,2022.8.17,5000000,전라남도 진도군
마니산 국민관광지,관광지,인천광역시 강화군 화도면 마니산로675번길 18,인천광역시 강화군 화도면 상방리 402-2,37.63245827,126.4237957,486000,관리사무소(2동)+분리수거장(2동)+창고(2동)+석교(7동)+목교(3동)+담수보(6동)+배수지(2동)+화장실(12동)+주차장(11개소)+매표소+정수장+물탱크(5동)+정화시설+샤워실,,,야외공연장+단군놀이터+야외취사장(7동)+전망대,,,1977.3.21,147272,1293,백두산과 한라산의 중간지점에 위치하여 우리나라에서 기가 가장 센 곳이며 정상에 있는 참성단에서 매해 제례를 올리고 칠선녀가 전국 체육대회의 성화를 채화함,032-930-7068,인천광역시 강화군 시설관리공단,2022.8.11,3570000,인천광역시 강화군
추사박물관,관광지,경기도 과천시 추사로 78,경기도 과천시 주암동 184-2,37.45300477,127.0287157,3020,도로+주차장+화장실,,,https://www.gccity.go.kr/chusamuseum/main.do,,,2013.6.3,300,33,추사 김정희가 말년에 4년간 과지초당에서 지내며 꽃피웠던 학문과 예술의 정수를 알리기 위해 추사박물관 개관함.,02-2150-3650,경기도 과천시청,2022.8.5,3970000,경기도 과천시
남당,관광지,,충청남도 홍성군 서부면 남당리 859-2,36.53923432,126.4719154,166200,관광안내소+화장실+주차장,,홍성승마체험장,상황리오토캠핑장,,,2007.9.20,10000,408,"대하, 우럭, 새조개, 꽃게 등 사시사철 싱싱한 수산물을 맛볼수 있으며, 잔잔한 은빛 수면으로 석양이 아름다움을 느낄 수 있음",041-630-1300,충청남도 홍성군청,2022.7.28,4600000,충청남도 홍성군
구드래관광지,관광지,충청남도 부여군 부여읍 백강로 148,충청남도 부여군 부여읍 구교리 17-4,36.28718846,126.9068136,148515,광장+선착장+조각공원,,,,,,1969.1.21,45000,300,백마강과 함께 가족단위 공원 심터 및 생활체육을 즐길수 있는 웰빙관광지,041-830-2222,충청남도 부여군청,2022.7.19,4570000,충청남도 부여군
서동요역사관광지,관광지,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,36.14594895,126.8248464,174508,관리사무소+주차장+화장실,수련시설,짚라이더+둘레길,부여군청소년수련원,,,2008.11.20,400,150,역사문화환경을 구축하여 부여 대표 관광명소,041-830-2222,충청남도 부여군청,2022.7.19,4570000,충청남도 부여군
백제문화관광단지,관광단지,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,36.30386704,126.9007732,3026277,주차장+화장실,휴양콘도미니엄,골프장,백제역사문화관+백제문화단지+롯데아울렛,,,2015.1.12,100000,3000,"고유의 교육적 가치 제고 및 관광, 지역경제 활성화를 위한 슈요자 중심의 체류형 종합 관광단지",041-830-2222,충청남도 부여군청,2022.7.19,4570000,충청남도 부여군
